TQ,DPQ,C,OU,DI,DFT,DFO,RD
3,4,2,3,37,25,19,6
4,4,4,4,14,4,4,4
3,3,4,4,3,9,4,17
2,0,3,0,50,4,7,3
1,0,2,3,24,16,4,2
1,0,4,3,39,18,28,2
4,4,0,3,6,5,1,0
2,0,2,1,17,11,2,5
2,0,1,1,10,27,8,18
4,4,1,0,17,20,33,12
0,1,0,0,46,1,15,8
1,1,4,3,29,60,14,8
2,1,1,1,9,22,32,7
1,4,4,0,66,18,36,2
1,3,0,4,46,7,10,12
1,0,4,1,39,11,8,1
4,0,2,4,7,24,12,5
1,2,4,0,49,18,6,14
3,3,3,4,23,6,7,6
2,1,2,4,20,6,13,1
0,1,0,3,20,6,17,2
0,4,4,0,25,4,22,2
4,3,0,2,29,3,3,9
2,1,3,1,23,23,0,14
3,0,1,2,22,38,0,1
4,3,4,0,58,31,1,4
2,4,4,1,26,5,16,1
2,4,2,1,15,24,27,2
1,1,1,0,7,44,1,18
0,2,0,2,100,3,27,5
2,3,4,2,25,8,1,4
4,1,2,1,28,26,0,3
3,2,3,2,37,27,1,14
2,0,0,2,45,0,22,4
4,1,2,3,60,3,14,6
4,2,3,4,92,1,47,15
3,2,0,0,71,4,7,1
2,1,0,0,24,6,4,9
1,4,2,2,2,14,7,13
3,1,3,0,14,34,2,17
2,4,4,1,4,2,10,3
0,3,1,2,16,6,5,29
2,3,3,1,32,11,9,8
1,0,2,2,10,2,2,14
4,1,0,0,0,9,2,1
3,4,3,1,53,25,0,0
2,0,4,1,0,12,9,3
0,4,4,4,28,11,19,2
2,4,4,0,24,4,3,11
3,2,0,0,19,0,16,3
1,3,3,3,5,26,0,14
4,0,0,0,14,32,22,9
4,3,3,1,14,15,14,7
2,3,3,2,2,20,14,7
1,1,2,3,14,3,24,14
2,0,3,4,23,1,10,3
3,2,0,1,3,12,1,3
1,3,1,1,65,11,4,5
1,0,1,2,62,3,3,10
0,3,1,3,1,38,0,6
2,2,4,1,0,13,14,0
2,0,1,3,3,25,53,2
3,4,1,4,10,32,12,11
1,3,1,4,2,6,1,10
3,0,1,1,53,9,7,13
3,3,0,0,29,3,4,4
0,2,4,2,52,2,3,5
4,4,0,1,28,4,12,32
0,4,3,4,39,32,4,2
2,0,1,4,19,20,1,6
2,3,4,0,5,23,5,7
4,0,3,4,29,7,23,22
0,2,4,2,25,19,39,0
3,3,1,2,32,15,7,6
2,4,2,4,30,20,10,4
2,2,3,1,80,6,7,4
3,2,3,0,33,3,6,13
2,2,3,0,76,1,17,8
2,3,0,1,41,22,18,6
1,0,0,3,22,23,20,1
4,0,3,2,7,0,9,6
4,4,1,3,42,35,2,2
0,0,3,0,1,4,9,17
0,2,3,1,23,38,34,3
3,3,2,2,4,7,3,1
1,3,1,3,2,16,8,4
2,3,2,3,2,7,9,2
1,3,0,1,27,19,0,2
4,0,2,1,50,6,27,1
1,2,3,1,64,23,24,1
3,4,4,0,31,6,30,2
2,0,1,4,52,36,23,4
2,0,2,0,30,11,67,0
0,2,0,4,24,14,10,10
1,1,3,0,15,22,23,2
1,2,0,3,53,0,15,0
3,0,2,4,51,60,7,19
1,1,1,4,40,7,31,3
2,2,1,0,49,24,17,2
4,0,2,4,43,33,28,22
4,2,1,4,25,0,0,0
3,3,0,4,0,41,18,20
1,2,2,4,44,51,4,11
0,2,0,2,91,5,0,3
4,0,4,4,58,10,0,33
1,0,0,1,21,14,5,6
2,1,1,0,34,25,29,0
2,2,1,0,15,7,26,0
1,3,0,1,48,5,26,12
2,2,2,4,22,17,17,23
2,0,4,1,16,58,4,6
3,2,1,3,20,1,22,4
0,2,0,4,33,3,12,10
0,4,4,4,3,5,3,0
0,1,1,1,28,3,29,3
2,3,3,1,32,21,21,2
1,2,2,2,57,6,15,4
1,2,1,3,51,22,12,0
1,4,2,3,22,10,11,4
2,1,0,0,14,14,38,16
2,2,1,3,62,28,3,17
4,0,0,1,47,19,1,1
2,4,1,3,37,10,35,5
1,4,0,4,12,1,37,2
0,4,3,4,44,34,12,0
1,3,2,1,31,36,13,27
1,0,0,1,9,22,6,14
0,1,4,1,36,8,28,3
4,2,1,1,10,19,6,8
1,3,0,1,44,35,15,1
0,4,1,3,15,1,0,23
1,1,1,0,27,9,25,11
0,0,4,3,18,16,24,10
3,3,1,2,54,3,27,9
1,1,4,2,48,11,12,19
4,0,4,2,23,12,36,20
1,4,4,1,31,11,22,5
1,2,3,2,33,7,26,10
2,3,2,2,21,2,2,2
1,1,2,1,18,23,22,3
4,2,0,2,31,2,3,12
3,0,3,2,23,39,5,7
3,0,0,2,47,2,26,3
3,2,0,4,72,1,5,5
0,1,3,1,49,12,25,1
0,0,0,2,2,20,8,20
0,2,3,0,26,21,18,5
0,1,0,3,14,9,19,17
0,3,2,1,25,19,13,5
0,0,4,1,17,16,2,4
4,2,4,0,19,36,26,14
1,1,2,3,5,0,1,26
2,1,4,2,33,2,1,4
3,1,4,2,50,35,4,9
3,1,3,4,8,32,0,30
1,0,2,4,64,4,6,0
1,2,3,4,14,2,0,19
4,0,1,4,6,2,40,4
0,0,4,0,9,3,7,0
3,1,3,2,20,3,24,15
0,1,4,4,69,1,21,2
2,3,3,3,29,37,13,1
1,2,4,2,47,15,4,2
0,2,3,3,11,13,32,11
4,2,1,3,48,7,8,15
4,3,1,0,14,1,37,0
2,3,3,2,34,34,17,6
3,0,4,2,29,9,23,6
1,3,0,3,54,23,15,2
0,3,4,2,24,19,26,18
0,0,1,2,7,37,8,2
2,0,4,4,75,20,19,6
0,1,4,0,47,10,1,31
0,4,1,1,58,24,1,6
3,0,3,2,26,26,75,1
3,1,1,2,13,2,18,1
0,3,4,1,6,23,36,31
1,4,0,4,40,22,9,11
1,2,1,0,53,23,30,7
4,4,0,2,9,2,49,28
4,2,0,2,9,32,6,2
3,0,3,1,42,36,19,3
1,1,0,1,12,15,12,4
3,3,2,0,32,18,10,0
4,3,4,4,60,42,0,14
1,3,2,3,43,2,6,13
1,2,2,2,0,23,10,4
4,1,1,2,17,20,7,6
3,3,1,3,63,4,8,5
4,1,4,4,22,5,33,9
3,2,1,1,12,16,7,20
3,1,3,4,30,64,17,9
2,1,1,4,53,24,4,40
2,4,3,3,42,22,12,3
3,0,4,1,13,7,10,12
4,4,2,1,2,55,15,2
4,2,3,2,5,0,29,9
4,1,1,4,43,14,16,8
1,0,1,3,44,31,1,13
1,0,2,2,63,10,2,20
0,1,0,4,10,22,43,2
2,1,2,2,11,9,51,5
2,4,0,0,33,8,0,9
4,0,4,1,14,39,2,26
3,3,4,0,21,11,7,1
3,3,0,3,32,1,26,2
2,4,4,2,3,14,0,16
2,0,1,1,13,22,4,11
1,2,0,1,33,13,4,14
3,4,1,4,1,1,16,7
4,1,3,4,54,27,10,12
4,1,1,1,32,14,3,5
4,2,4,0,1,24,7,4
3,3,0,1,10,11,7,15
0,2,0,3,30,20,6,17
0,1,2,4,20,1,3,3
1,1,0,3,71,9,40,0
1,3,0,3,74,33,12,4
2,4,4,2,24,3,8,2
4,1,4,0,31,23,6,10
4,2,1,2,6,69,55,11
1,4,0,3,8,21,1,9
4,0,3,0,3,28,1,1
0,3,0,1,15,29,2,2
0,3,4,4,36,6,2,7
2,0,2,1,43,33,2,34
3,0,3,0,55,19,6,4
3,2,0,3,47,3,24,13
1,3,1,3,41,1,15,17
1,3,0,3,14,12,6,22
2,4,3,3,9,11,21,6
4,1,0,0,29,23,1,8
0,1,1,3,9,11,8,8
3,3,3,3,7,19,28,0
1,1,1,3,66,46,7,0
0,2,3,1,22,10,45,6
0,1,3,0,64,48,11,9
4,2,4,0,6,11,2,15
3,2,2,3,41,4,27,9
4,1,2,2,18,16,18,26
4,3,0,1,18,0,12,10
0,1,4,3,4,6,13,13
2,2,1,1,48,14,22,1
4,4,4,0,9,0,13,0
2,4,2,1,13,19,3,4
2,0,2,0,6,3,48,8
0,3,3,3,34,20,9,6
4,1,0,2,14,10,8,0
2,4,3,0,25,0,5,7
2,0,0,2,12,3,9,14
1,2,2,2,45,0,10,2
3,1,1,2,23,66,10,4
1,0,1,1,51,0,5,13
2,2,1,2,40,3,41,9
0,4,0,4,27,3,2,4
2,0,3,2,27,22,44,8
3,4,0,2,50,6,11,6
0,3,0,1,18,10,15,17
2,1,0,1,14,8,4,7
1,2,0,4,25,1,11,2
1,4,2,4,53,58,23,7
1,3,1,0,7,6,1,0
2,1,2,2,15,8,1,20
4,3,1,3,20,44,3,15
4,1,3,1,9,2,22,13
4,1,1,0,67,7,12,2
1,3,4,4,43,14,58,3
1,1,0,4,23,5,17,6
2,4,0,2,73,11,0,3
3,2,4,0,17,44,12,7
0,4,3,3,10,47,9,17
2,0,4,3,45,3,10,5
1,2,1,4,10,37,12,2
3,1,2,2,77,1,29,26
2,2,4,3,14,54,4,0
0,2,4,2,18,26,15,2
3,3,0,0,75,18,27,2
4,1,2,0,81,13,6,2
4,1,1,2,5,10,0,0
0,4,4,2,23,16,1,10
0,0,4,2,46,32,4,1
0,0,1,1,48,4,4,15
1,3,0,3,21,7,15,19
0,4,2,2,53,9,8,31
4,2,3,2,2,33,24,6
1,3,1,4,49,40,12,3
0,3,3,2,3,42,37,16
1,1,0,1,21,34,28,5
4,4,3,1,13,16,27,20
0,4,1,1,50,30,35,4
3,0,2,4,23,14,8,15
3,4,0,4,65,1,32,12
0,4,3,2,5,3,0,21
2,4,1,3,32,2,5,10
1,3,0,3,27,28,33,3
4,4,2,4,32,15,1,2
4,2,2,3,24,3,0,5
4,0,0,0,50,8,0,4
4,1,0,2,44,1,22,10
2,4,1,0,63,11,14,5
2,2,0,1,67,25,2,1
1,3,1,4,21,11,17,1
0,0,1,1,0,44,14,4
1,4,4,2,31,8,5,4
3,2,3,3,13,16,2,5
3,3,3,2,44,10,15,8
4,3,0,0,29,31,1,2
3,2,2,1,16,14,27,0
1,3,4,2,25,0,2,11
3,2,1,0,29,7,3,18
0,3,3,4,19,2,3,1
4,3,4,3,66,18,10,4
0,0,1,2,13,1,3,4
2,1,1,0,27,15,10,16
1,0,3,2,16,1,5,17
4,3,1,1,5,6,13,6
4,3,2,1,18,26,8,11
4,4,4,1,23,36,9,0
1,1,4,1,3,3,2,2
1,4,1,1,23,12,19,13
3,3,2,4,50,2,6,16
0,0,4,0,24,34,8,0
4,2,4,0,29,9,0,8
0,1,3,1,45,12,16,13
2,3,1,2,31,5,4,16
0,1,0,4,53,8,22,14
3,2,2,2,37,0,10,6
2,3,0,3,27,7,9,3
3,0,4,1,8,8,8,9
4,1,3,1,68,8,0,7
0,0,0,3,18,8,28,3
1,0,3,4,27,1,8,6
3,1,0,2,4,10,28,15
2,3,1,1,42,11,4,5
1,2,3,4,20,23,3,17
3,1,4,1,21,4,9,0
3,4,2,1,5,0,22,4
0,3,3,2,24,14,23,12
0,3,4,3,44,4,23,1
3,2,4,0,5,23,5,9
2,4,3,0,79,1,22,1
1,4,4,2,34,24,5,5
4,1,4,3,14,9,9,23
0,3,2,4,20,7,17,2
3,3,0,2,27,4,23,21
1,2,0,1,3,0,12,8
2,0,3,0,13,19,7,8
1,4,4,0,17,1,21,0
4,0,2,0,43,5,11,2
2,0,2,0,33,8,6,7
2,3,0,0,41,4,8,9
1,4,2,3,1,62,16,9
0,3,4,1,24,19,10,22
4,0,1,0,27,21,3,21
3,0,0,0,27,11,14,6
0,4,2,3,3,5,26,26
4,0,1,4,8,25,9,2
0,1,1,3,13,32,0,4
1,0,1,4,19,1,9,3
3,4,4,1,24,13,45,6
1,1,1,4,16,13,66,21
1,2,1,2,33,1,0,8
1,3,3,2,44,8,7,0
1,2,2,2,57,2,6,23
1,2,2,0,10,25,10,4
0,1,4,0,16,11,33,11
3,1,2,0,3,16,13,10
0,3,0,2,26,8,13,2
0,0,2,0,23,21,7,3
0,1,0,0,12,17,9,6
1,2,0,2,60,8,3,3
2,1,3,4,27,5,39,12
3,2,1,1,34,6,10,2
3,1,3,0,1,20,9,3
4,1,0,3,0,8,3,35
3,4,2,4,20,24,12,3
3,0,3,2,37,26,3,5
2,4,2,1,72,21,35,1
3,3,3,0,34,15,8,13
4,4,1,3,0,14,13,4
0,2,0,3,48,43,66,5
3,1,0,4,58,8,43,15
4,2,1,3,28,0,5,0
2,0,4,1,25,14,16,0
4,0,3,4,29,32,5,13
0,2,1,3,11,0,12,4
2,3,0,1,6,17,9,15
1,1,2,3,6,19,0,16
1,2,2,1,7,5,26,2
4,2,3,3,19,3,16,3
3,3,4,2,16,4,5,3
3,4,1,4,23,3,23,2
3,4,2,3,20,34,50,14
3,2,0,0,0,14,17,1
2,1,3,1,48,22,39,15
3,2,1,0,46,36,29,0
4,3,4,3,37,7,0,3
3,4,3,2,38,13,36,5
1,0,3,3,39,5,14,2
2,3,0,1,32,19,10,0
0,1,2,2,60,0,15,4
1,3,0,3,3,36,7,6
0,4,1,0,33,18,17,4
3,2,1,3,45,26,3,6
4,3,1,4,27,12,16,4
2,1,3,2,11,4,4,10
4,3,1,0,10,3,56,6
0,1,1,0,44,16,8,10
3,4,1,2,1,5,19,6
3,1,2,2,42,20,8,14
4,0,4,0,45,8,15,0
1,2,4,4,45,0,57,11
3,0,1,4,22,9,24,7
0,4,4,3,52,4,5,18
0,3,1,1,5,17,27,0
0,0,0,2,3,32,4,8
0,3,4,1,74,54,30,39
3,0,2,4,30,6,7,6
3,2,1,0,12,55,11,39
0,3,3,4,35,13,20,0
4,0,2,2,20,17,16,9
1,1,4,3,53,12,16,3
3,0,3,2,34,24,9,5
3,1,4,1,20,0,30,7
0,1,1,0,36,18,10,5
2,3,1,2,22,24,31,4
4,4,3,4,3,1,13,16
3,2,3,1,36,55,8,4
0,4,3,1,28,1,2,6
2,1,0,3,60,28,19,7
3,3,2,1,32,2,3,1
0,4,4,2,19,16,23,23
0,4,3,0,18,17,17,4
4,2,1,2,27,25,12,4
3,3,1,4,66,33,12,3
4,2,3,3,34,21,30,5
0,1,2,2,11,1,1,2
4,1,0,3,14,20,12,2
0,3,2,0,31,15,5,20
3,2,2,1,8,21,60,15
0,4,2,2,33,41,24,11
1,0,4,1,4,3,3,25
4,0,1,0,41,2,25,18
3,4,2,4,51,8,1,2
2,0,1,4,65,15,42,18
1,3,4,3,13,0,15,7
1,1,1,1,63,4,6,0
1,1,4,2,10,25,22,1
1,0,1,2,20,3,13,1
3,4,4,4,52,17,11,5
3,2,3,4,14,15,18,1
0,1,3,4,12,20,31,8
0,2,2,1,71,10,23,3
1,2,2,0,6,4,1,15
1,0,2,3,20,40,11,15
3,2,3,1,44,7,17,8
1,2,4,3,10,2,20,22
1,3,1,4,5,0,17,7
2,2,1,1,16,0,3,13
3,2,1,0,23,25,10,0
2,0,2,2,18,18,41,1
3,4,4,3,55,27,13,4
1,3,3,0,68,0,6,8
3,2,0,1,49,6,21,33
4,3,1,0,35,11,3,6
2,0,1,4,24,2,16,2
0,0,4,2,27,19,7,13
3,2,3,4,14,34,0,8
0,1,3,1,44,26,11,1
0,0,3,4,56,19,21,10
2,4,3,3,32,1,7,1
3,0,0,3,4,4,23,1
1,4,2,2,54,11,1,1
3,3,2,3,36,16,8,15
4,1,4,0,72,17,18,30
1,3,3,1,25,1,5,0
4,1,0,4,13,0,0,0
3,4,1,4,47,9,4,8
1,1,1,3,18,33,10,12
3,3,3,2,58,28,4,11
2,0,3,0,43,12,21,1
0,4,3,4,55,12,2,9
2,3,2,4,48,21,17,5
2,1,1,2,14,2,2,1
2,3,1,2,26,26,6,7
2,1,1,3,43,6,28,0
2,4,2,2,25,2,4,8
4,0,4,4,19,15,27,8
0,3,1,3,19,20,1,34
2,1,4,3,18,4,25,10
2,3,4,1,18,20,10,0
4,3,0,3,21,33,38,13
1,3,3,3,48,1,12,4
0,1,3,4,5,36,29,24
2,0,4,4,0,1,15,18
1,2,2,4,53,5,22,10
3,3,0,2,21,28,2,23
3,0,1,4,11,4,15,9
2,2,4,0,65,33,12,1
2,2,2,4,26,3,0,6
0,3,4,3,23,5,22,12
0,0,4,1,7,4,0,7
4,3,2,3,31,16,39,11
